Módulo de Análise: Origem de Dados da Coleta;;;;;;
Data de solicitação 26/02/2020;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Qualidade;Origem;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;14;223,36;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;15;215,808;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;16;202,24;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;17;196,384;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;18;192,064;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;19;168,576;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;20;145,632;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;21;137,312;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;22;139,04;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;23;102,784;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);15/01/2020;24;106,944;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;1;113,792;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;2;102,944;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;3;104,032;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;4;100,96;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;5;104,576;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;6;103,904;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;7;108,128;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;8;176,544;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;9;222,592;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;10;230,08;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;11;229,568;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;12;236,256;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;13;238,72;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;14;225,888;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;15;213,696;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;16;205,28;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;17;193,024;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;18;193,888;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;19;171,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;20;142,144;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;21;136,832;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;22;135,808;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;23;113,216;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);16/01/2020;24;109,248;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;1;115,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;2;106,112;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;3;104,224;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;4;106,336;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;5;105,408;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;6;114,304;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;7;121,92;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;8;171,2;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;9;7,264;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;10;178,4;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;11;194,464;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;12;204,864;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;13;197,472;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;14;197,664;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;15;192,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;16;166,624;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;17;177,888;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;18;173,792;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;19;149,952;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;20;142,208;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;21;134,688;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;22;122,048;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;23;117,728;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);17/01/2020;24;104,416;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;1;100,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;2;101,696;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;3;102,72;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;4;92,448;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;5;97,696;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;6;94,176;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;7;99,104;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;8;152,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;9;175,872;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;10;169,248;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;11;186,112;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;12;185,152;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;13;182,912;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;14;191,392;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;15;183,776;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;16;141,696;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;17;147,328;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;18;141,728;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;19;137,76;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;20;143,072;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;21;139,488;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;22;122,368;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;23;114,816;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);18/01/2020;24;104,832;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;1;100,704;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;2;99,904;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;3;102,528;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;4;95,552;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;5;103,936;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;6;94,368;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;7;101,472;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;8;131,104;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;9;135,136;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;10;131,328;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;11;138,656;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;12;141,312;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;13;141,408;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;14;145,696;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;15;145,44;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;16;137,184;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;17;139,904;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;18;143,552;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;19;135,904;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;20;144,192;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;21;115,328;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;22;95,776;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;23;100,896;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);19/01/2020;24;102,528;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;1;98,848;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;2;98,336;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;3;97,728;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;4;91,52;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;5;95,104;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;6;91,744;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;7;99,552;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;8;172,416;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;9;178,56;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;10;190,048;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;11;190,336;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;12;196,384;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;13;191,36;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;14;202,464;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;15;197,088;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;16;189,344;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;17;171,04;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;18;166,08;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;19;178,048;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;20;159,616;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;21;129,824;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;22;120,288;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;23;100,448;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);20/01/2020;24;104,096;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;1;95,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;2;93,024;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;3;99,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;4;101,44;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;5;102,56;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;6;100;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;7;106,048;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;8;169,088;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;9;176,544;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;10;188,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;11;187,392;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;12;200,864;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;13;192,992;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;14;200,192;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;15;210,976;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;16;201,632;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;17;180,768;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;18;174,816;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;19;167,072;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;20;139,296;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;21;133,728;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;22;122,176;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;23;101,344;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);21/01/2020;24;100,256;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;1;102,464;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;2;97,632;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;3;100,064;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;4;98,176;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;5;100,48;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;6;99,968;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;7;106,752;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;8;158,848;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;9;182,56;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;10;190,432;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;11;181,024;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;12;194,432;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;13;200;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;14;198,176;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;15;188;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;16;176,032;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;17;181,152;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;18;180,48;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;19;156,288;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;20;138,08;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;21;138,816;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;22;134,4;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;23;103,68;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);22/01/2020;24;96,32;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;1;110,112;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;2;96,64;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;3;91,104;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;4;98,752;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;5;98,848;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;6;98,144;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;7;105,888;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;8;164,832;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;9;185,504;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;10;185,536;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;11;161,952;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;12;185,408;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;13;185,248;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;14;192,864;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;15;192,544;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;16;188,864;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;17;175,936;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;18;176,032;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;19;150,208;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;20;135,328;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;21;101,792;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;22;122,112;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;23;95,168;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);23/01/2020;24;87,04;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;1;103,008;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;2;105,248;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;3;100,032;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;4;96,8;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;5;99,296;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;6;86,272;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;7;76,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;8;119,392;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;9;3,264;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;10;149,024;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;11;179,488;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;12;182,624;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;13;188,672;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;14;186,08;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;15;204,256;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;16;182,4;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;17;180,992;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;18;157,536;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;19;137,12;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;20;143,04;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;21;124,448;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;22;114,88;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;23;106,816;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);24/01/2020;24;81,152;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;1;80,96;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;2;76,32;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;3;74,848;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;4;76,032;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;5;82,88;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;6;72,576;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;7;83,008;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;8;110,56;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;9;170,24;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;10;173,184;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;11;196,16;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSPIENTR101 (B);25/01/2020;12;194,432;Completo;COLETA DIÁRIA;
