Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: BARBOSA 1;;;;;;;;;;
Periodo Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPASKCENTR101;04/12/2019;14;Liquida;0;106,096;0;47,168;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;15;Liquida;0;96,768;0;44,016;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;16;Liquida;0;100,928;0;46,592;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;17;Liquida;0;98,24;0;45,856;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;18;Liquida;0;100,512;0;46,16;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;19;Liquida;0;94,112;0;44,704;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;20;Liquida;0;96,016;0;44,816;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;21;Liquida;0;94,576;0;43,136;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;22;Liquida;0;93,44;0;44,592;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;23;Liquida;0;81,088;0;34,448;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;24;Liquida;0;71,632;0;33,488;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;1;Liquida;0;65,68;0;32,512;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;2;Liquida;0;65,168;0;31,808;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;3;Liquida;0;64,896;0;32,768;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;4;Liquida;0;62,864;0;30;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;5;Liquida;0;60,096;0;29,568;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;6;Liquida;0;75,184;0;33,504;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;7;Liquida;0;86,304;0;37,568;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;8;Liquida;0;95,456;0;42,016;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;9;Liquida;0;81,328;0,08;36,544;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;10;Liquida;0;65,024;0;32,896;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;11;Liquida;0;97,28;0;44,832;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;12;Liquida;0;96,496;0;42,336;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;13;Liquida;0;91,12;0;41,2;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;14;Liquida;0;115,584;0;52,272;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;15;Liquida;0;107,616;0;49,44;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;16;Liquida;0;110,384;0;51,648;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;17;Liquida;0;98,096;0;45,632;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;18;Liquida;0;101,92;0;47,344;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;19;Liquida;0;99,088;0;47,456;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;20;Liquida;0;98,496;0;44,304;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;21;Liquida;0;93,808;0;44,384;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;22;Liquida;0;99,12;0;47,616;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;23;Liquida;0;83,984;0;36,672;0;Hora Completa Consistente;Consistido
SPASKCENTR101;05/12/2019;24;Liquida;0;76,976;0;35,44;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;1;Liquida;0;71,728;0;33,024;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;2;Liquida;0;68,656;0;32,848;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;3;Liquida;0;66,304;0;32,736;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;4;Liquida;0;68,192;0;33,936;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;5;Liquida;0;73,712;0;32,176;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;6;Liquida;0;78,096;0;32,944;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;7;Liquida;0;90,64;0;39,568;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;8;Liquida;0;92,992;0;43,904;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;9;Liquida;0;96,912;0;43,856;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;10;Liquida;0;95,6;0;45,104;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;11;Liquida;0;97,376;0;46,368;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;12;Liquida;0;98,752;0;45,808;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;13;Liquida;0;102,816;0;46,112;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;14;Liquida;0;96,368;0;42,256;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;15;Liquida;0;102,288;0;47,872;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;16;Liquida;0;99,616;0;46,272;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;17;Liquida;0;93,776;0;45,36;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;18;Liquida;0;92,864;0;46,048;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;19;Liquida;0;97,936;0;46,896;0;Hora Completa Consistente;Consistido
SPASKCENTR101;06/12/2019;20;Liquida;0;87,232;0;41,216;0;Hora Completa Consistente;Consistido
